Day;Time;Use?;Action;Timestamp
05.02.2018;06:51;u;laufen;2018-02-05 06:51:00
05.02.2018;07:11;u;im haus;2018-02-05 07:11:00
05.02.2018;07:16;n;duschen;2018-02-05 07:16:00
05.02.2018;07:43;u;im haus;2018-02-05 07:43:00
05.02.2018;08:15;i;auto;2018-02-05 08:15:00
05.02.2018;08:21;u;bahnhof;2018-02-05 08:21:00
05.02.2018;08:25;i;bahn;2018-02-05 08:25:00
05.02.2018;08:35;u;bahnhof;2018-02-05 08:35:00
05.02.2018;08:40;i;bahn;2018-02-05 08:40:00
05.02.2018;08:53;u;Bahnhof zu arbeit;2018-02-05 08:53:00
05.02.2018;09:15;u;Arbeit;2018-02-05 09:15:00
05.02.2018;11:27;n;Band/Handy aufladen ;2018-02-05 11:27:00
05.02.2018;12:21;u;Arbeit;2018-02-05 12:21:00
05.02.2018;12:23;u;Essen ;2018-02-05 12:23:00
05.02.2018;12:41;u;Arbeit;2018-02-05 12:41:00
05.02.2018;17:32;u;Arbeit zu Bahnhof;2018-02-05 17:32:00
05.02.2018;17:40;i;bahn;2018-02-05 17:40:00
05.02.2018;17:45;u;bahnhof;2018-02-05 17:45:00
05.02.2018;17:55;i;bahn;2018-02-05 17:55:00
05.02.2018;18:06;u;bahnhof;2018-02-05 18:06:00
05.02.2018;18:08;i;bahn;2018-02-05 18:08:00
05.02.2018;18:20;u;bahnhof;2018-02-05 18:20:00
05.02.2018;18:48;i;bahn;2018-02-05 18:48:00
05.02.2018;18:55;u;Bahnhof zu wohnung;2018-02-05 18:55:00
05.02.2018;19:04;u;wohnung;2018-02-05 19:04:00
05.02.2018;19:14;n;band/Handy aufladen;2018-02-05 19:14:00
05.02.2018;20:26;n;Essen;2018-02-05 20:26:00
05.02.2018;20:47;u;wohnung;2018-02-05 20:47:00
05.02.2018;21:08;u;Halbschlaf;2018-02-05 21:08:00
05.02.2018;21:48;u;wohnung;2018-02-05 21:48:00
05.02.2018;22:21;i;auto;2018-02-05 22:21:00
05.02.2018;22:28;u;haus;2018-02-05 22:28:00
06.02.2018;00:55;u;Essen;2018-02-06 00:55:00
06.02.2018;01:26;u;haus;2018-02-06 01:26:00
06.02.2018;05:04;n;Schlaf band/Handy aufladen;2018-02-06 05:04:00
06.02.2018;15:00;u;haus;2018-02-06 15:00:00
06.02.2018;15:58;u;essen;2018-02-06 15:58:00
06.02.2018;16:50;u;haus;2018-02-06 16:50:00
06.02.2018;17:29;n;Schlaf band/Handy aufladen;2018-02-06 17:29:00
06.02.2018;18:44;u;haus;2018-02-06 18:44:00
06.02.2018;19:50;u;trinken;2018-02-06 19:50:00
06.02.2018;22:41;u;laufen;2018-02-06 22:41:00
06.02.2018;23:07;u;haus;2018-02-06 23:07:00
06.02.2018;23:22;u;trinken;2018-02-06 23:22:00
06.02.2018;23:23;u;haus;2018-02-06 23:23:00
07.02.2018;02:13;u;Joghurt;2018-02-07 02:13:00
07.02.2018;02:15;u;haus;2018-02-07 02:15:00
07.02.2018;03:46;u;essen;2018-02-07 03:46:00
07.02.2018;04:04;u;haus;2018-02-07 04:04:00
07.02.2018;05:17;n;Schlaf band/Handy aufladen;2018-02-07 05:17:00
07.02.2018;09:49;u;haus;2018-02-07 09:49:00
07.02.2018;10:10;i;haus zu Bahnhof;2018-02-07 10:10:00
07.02.2018;10:16;u;bahnhof;2018-02-07 10:16:00
07.02.2018;10:27;i;bahn;2018-02-07 10:27:00
07.02.2018;11:00;u;bahnhof zu arbeit;2018-02-07 11:00:00
07.02.2018;11:31;u;arbeit;2018-02-07 11:31:00
07.02.2018;12:53;u;essen;2018-02-07 12:53:00
07.02.2018;13:07;u;arbeit;2018-02-07 13:07:00
07.02.2018;13:33;u;trinken;2018-02-07 13:33:00
07.02.2018;13:57;u;arbeit;2018-02-07 13:57:00
07.02.2018;16:50;n;band/Handy aufladen;2018-02-07 16:50:00
07.02.2018;17:28;u;Arbeit zu bahnhof;2018-02-07 17:28:00
07.02.2018;17:44;i;bahn;2018-02-07 17:44:00
07.02.2018;17:52;u;bahnhof;2018-02-07 17:52:00
07.02.2018;17:58;i;bahn;2018-02-07 17:58:00
07.02.2018;18:11;u;bahnhof;2018-02-07 18:11:00
07.02.2018;18:21;i;bahn;2018-02-07 18:21:00
07.02.2018;18:34;u;bahn zu haus;2018-02-07 18:34:00
07.02.2018;18:55;u;haus;2018-02-07 18:55:00
07.02.2018;19:20;u;essen;2018-02-07 19:20:00
07.02.2018;19:31;u;haus;2018-02-07 19:31:00
07.02.2018;21:30;u;essen;2018-02-07 21:30:00
07.02.2018;21:47;u;haus;2018-02-07 21:47:00
07.02.2018;22:05;n;Schlaf band/Handy aufladen;2018-02-07 22:05:00
08.02.2018;08:00;u;haus;2018-02-08 08:00:00
08.02.2018;08:42;u;laufen;2018-02-08 08:42:00
08.02.2018;09:08;u;haus;2018-02-08 09:08:00
08.02.2018;09:15;u;trinken;2018-02-08 09:15:00
08.02.2018;09:28;n;duschen;2018-02-08 09:28:00
08.02.2018;10:26;u;haus;2018-02-08 10:26:00
08.02.2018;11:24;u;essen;2018-02-08 11:24:00
08.02.2018;11:52;u;haus;2018-02-08 11:52:00
08.02.2018;12:29;i;haus zu Bahnhof hof;2018-02-08 12:29:00
08.02.2018;12:49;i;bahn;2018-02-08 12:49:00
08.02.2018;13:20;u;bahnhof zu arbeit;2018-02-08 13:20:00
08.02.2018;13:35;u;arbeit;2018-02-08 13:35:00
08.02.2018;15:15;u;essen ;2018-02-08 15:15:00
08.02.2018;15:29;u;trinken;2018-02-08 15:29:00
08.02.2018;15:37;u;arbeit;2018-02-08 15:37:00
08.02.2018;17:03;n;laden;2018-02-08 17:03:00
08.02.2018;17:45;u;arbeit zu restaurant;2018-02-08 17:45:00
08.02.2018;18:06;u;restaurant;2018-02-08 18:06:00
08.02.2018;18:21;u;trinken;2018-02-08 18:21:00
08.02.2018;18:37;u;essen;2018-02-08 18:37:00
08.02.2018;19:28;u;Restaurant;2018-02-08 19:28:00
08.02.2018;22:34;u;essen;2018-02-08 22:34:00
08.02.2018;22:50;u;trinken ;2018-02-08 22:50:00
08.02.2018;23:10;u;essen;2018-02-08 23:10:00
09.02.2018;09:44;u;haus;2018-02-09 09:44:00
09.02.2018;09:56;i;haus zu wohnunh;2018-02-09 09:56:00
09.02.2018;10:03;u;wohnung;2018-02-09 10:03:00
09.02.2018;14:04;u;essen;2018-02-09 14:04:00
09.02.2018;19:22;u;essen;2018-02-09 19:22:00
09.02.2018;22:40;u;oranfensaft;2018-02-09 22:40:00
09.02.2018;22:48;u;kuchen;2018-02-09 22:48:00
10.02.2018;02:00;u;essen;2018-02-10 02:00:00
10.02.2018;02:41;u;schlaf;2018-02-10 02:41:00
10.02.2018;11:27;u;haus;2018-02-10 11:27:00
10.02.2018;12:59;u;essen;2018-02-10 12:59:00
10.02.2018;13:06;u;haus;2018-02-10 13:06:00
10.02.2018;13:50;u;trinken;2018-02-10 13:50:00
10.02.2018;15:33;u;essen;2018-02-10 15:33:00
10.02.2018;15:56;u;essen;2018-02-10 15:56:00
10.02.2018;19:38;u;trinken;2018-02-10 19:38:00
11.02.2018;12:40;u;essen;2018-02-11 12:40:00
11.02.2018;14:58;u;esssn;2018-02-11 14:58:00
11.02.2018;15:20;u;essen trinken;2018-02-11 15:20:00
11.02.2018;20:52;u;essen;2018-02-11 20:52:00
11.02.2018;23:36;u;laufeb;2018-02-11 23:36:00
11.02.2018;23:47;u;haus;2018-02-11 23:47:00
11.02.2018;23:51;u;trinken;2018-02-11 23:51:00
12.02.2018;01:45;u;essen;2018-02-12 01:45:00
12.02.2018;05:16;u;laufen;2018-02-12 05:16:00
12.02.2018;05:27;u;haus;2018-02-12 05:27:00
12.02.2018;06:30;u;trinken;2018-02-12 06:30:00
12.02.2018;06:55;n;aufladeb;2018-02-12 06:55:00
12.02.2018;11:38;u;haus;2018-02-12 11:38:00
12.02.2018;13:26;u;essen;2018-02-12 13:26:00
12.02.2018;15:55;u;esseb;2018-02-12 15:55:00
12.02.2018;17:40;i;auto;2018-02-12 17:40:00
12.02.2018;17:59;u;haus;2018-02-12 17:59:00
12.02.2018;19:40;u;essen;2018-02-12 19:40:00
13.02.2018;11:17;i;haus;2018-02-13 11:17:00
13.02.2018;12:43;i;bus;2018-02-13 12:43:00
13.02.2018;13:52;u;uni;2018-02-13 13:52:00
13.02.2018;15:55;i;bus;2018-02-13 15:55:00
13.02.2018;17:20;u;haus;2018-02-13 17:20:00
13.02.2018;18:32;u;essen;2018-02-13 18:32:00
14.02.2018;09:55;u;haus;2018-02-14 09:55:00
14.02.2018;10:50;u;kaffee;2018-02-14 10:50:00
14.02.2018;16:12;u;essen;2018-02-14 16:12:00
14.02.2018;16:44;u;duscgen;2018-02-14 16:44:00
14.02.2018;17:11;u;haus;2018-02-14 17:11:00
14.02.2018;19:30;u;essen;2018-02-14 19:30:00
15.02.2018;02:10;u;essen;2018-02-15 02:10:00
15.02.2018;12:55;u;haus;2018-02-15 12:55:00
15.02.2018;23:00;u;essen;2018-02-15 23:00:00
16.02.2018;14:03;u;haus;2018-02-16 14:03:00
16.02.2018;15:11;u;essen;2018-02-16 15:11:00
16.02.2018;17:41;u;essen;2018-02-16 17:41:00
16.02.2018;22:22;u;essen;2018-02-16 22:22:00
17.02.2018;14:15;u;essen;2018-02-17 14:15:00
17.02.2018;14:46;u;duschdn;2018-02-17 14:46:00
17.02.2018;15:15;u;haus;2018-02-17 15:15:00
17.02.2018;15:57;u;esseb;2018-02-17 15:57:00
17.02.2018;18:11;u;essen;2018-02-17 18:11:00
17.02.2018;19:32;i;bus;2018-02-17 19:32:00
17.02.2018;19:42;u;Haltestelle nach hause;2018-02-17 19:42:00
17.02.2018;20:04;i;bus;2018-02-17 20:04:00
17.02.2018;20:22;u;Haltestelle wohnung;2018-02-17 20:22:00
