day,time,use?,action,date_time,remarks,duration,duration_seconds,timestamp,duration_msec
20.01.2018,07:31:00,u,sitzen,2018-01-20 07:31:00,,03:01:00,10860,1516433460000,10860000
20.01.2018,10:32:00,u,gehen,2018-01-20 10:32:00,,00:18:00,1080,1516444320000,1080000
20.01.2018,10:50:00,u,schlafen,2018-01-20 10:50:00,,07:44:00,27840,1516445400000,27840000
20.01.2018,18:34:00,i,auto,2018-01-20 18:34:00,,00:19:00,1140,1516473240000,1140000
20.01.2018,18:53:00,u,gehen,2018-01-20 18:53:00,,00:04:00,240,1516474380000,240000
20.01.2018,18:57:00,u,arbeit,2018-01-20 18:57:00,,08:06:00,29160,1516474620000,29160000
21.01.2018,03:03:00,i,auto,2018-01-21 03:03:00,,00:46:00,2760,1516503780000,2760000
21.01.2018,03:49:00,u,gehen,2018-01-21 03:49:00,,00:28:00,1680,1516506540000,1680000
21.01.2018,04:17:00,u,liegen,2018-01-21 04:17:00,,00:29:00,1740,1516508220000,1740000
21.01.2018,04:46:00,n,schlafen,2018-01-21 04:46:00,band abgelegt,06:58:00,25080,1516509960000,25080000
21.01.2018,11:44:00,u,liegen,2018-01-21 11:44:00,,00:40:00,2400,1516535040000,2400000
21.01.2018,12:24:00,u,sitzen,2018-01-21 12:24:00,,04:49:00,17340,1516537440000,17340000
21.01.2018,17:13:00,u,gehen,2018-01-21 17:13:00,,00:04:00,240,1516554780000,240000
21.01.2018,17:17:00,u,joggen,2018-01-21 17:17:00,,00:30:00,1800,1516555020000,1800000
21.01.2018,17:47:00,u,gehen,2018-01-21 17:47:00,,00:14:00,840,1516556820000,840000
21.01.2018,18:01:00,u,duschen,2018-01-21 18:01:00,gehen,00:38:00,2280,1516557660000,2280000
21.01.2018,18:39:00,u,sitzen,2018-01-21 18:39:00,,04:47:00,17220,1516559940000,17220000
21.01.2018,23:26:00,u,liegen,2018-01-21 23:26:00,,00:24:00,1440,1516577160000,1440000
21.01.2018,23:50:00,u,schlafen,2018-01-21 23:50:00,,08:10:00,29400,1516578600000,29400000
22.01.2018,08:00:00,u,liegen,2018-01-22 08:00:00,,02:00:00,7200,1516608000000,7200000
22.01.2018,10:00:00,u,sitzen,2018-01-22 10:00:00,,02:42:00,9720,1516615200000,9720000
22.01.2018,12:42:00,u,gehen,2018-01-22 12:42:00,,00:04:00,240,1516624920000,240000
22.01.2018,12:46:00,u,joggen,2018-01-22 12:46:00,,00:31:00,1860,1516625160000,1860000
