"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-6.174129825E-2,-1.017634063E-1,2.311930597E-2,1.212529632E-1
1.003999996E-2,-3.338336214E-2,-4.709935863E-2,1.134634656E-1,1.273057598E-1
2.004999999E-2,-9.288148575E-2,8.341192000E-2,1.198971570E-1,1.730891303E-1
3.009000001E-2,-1.012713266E-1,1.348865674E-1,3.552826703E-2,1.723732154E-1
4.012999998E-2,-2.624749325E-2,7.794820860E-2,-1.311787748E-1,1.548312794E-1
5.014000001E-2,5.330731094E-2,-8.609257601E-2,-1.960226423E-1,2.206319952E-1
6.018099998E-2,1.105528678E-1,-1.673545114E-1,-1.724285424E-1,2.645015525E-1
7.019000000E-2,1.398833421E-1,-1.525597401E-1,-1.505804211E-1,2.559614950E-1
8.023099997E-2,7.069130234E-2,-6.919945836E-2,-1.280084145E-1,1.617775616E-1
9.023999999E-2,1.280744880E-2,1.940793201E-2,-1.108673018E-1,1.132795532E-1
1.002810000E-1,-2.720460936E-2,5.129656311E-2,-7.704408288E-2,9.647392842E-2
1.102900000E-1,-4.087324340E-2,2.822312124E-2,-1.105188078E-1,1.211675430E-1
1.203310000E-1,-7.785512824E-2,-7.847292311E-3,-9.312860370E-2,1.216385540E-1
1.303710000E-1,-1.285829765E-1,-2.429697175E-2,-3.903191864E-2,1.365555395E-1
1.403810000E-1,-6.386321627E-2,-3.247956533E-2,-4.537731707E-2,8.480880532E-2
1.504210000E-1,-1.728769507E-2,-4.195969261E-2,-6.289615989E-2,7.755905578E-2
1.604310000E-1,8.690387718E-3,-4.521377776E-2,-9.830163538E-2,1.085496203E-1
1.704710000E-1,4.221580066E-2,-8.241891660E-2,-1.040237206E-1,1.392694729E-1
1.804810000E-1,4.727722362E-2,-6.086695679E-2,-6.985083818E-2,1.040147196E-1
1.905210000E-1,1.672263477E-2,-5.760779187E-2,-7.387313783E-2,9.516062574E-2
2.005310000E-1,-5.501106167E-2,-6.688089117E-2,-1.190206593E-1,1.471909911E-1
2.105710000E-1,-9.114859030E-2,-5.846861165E-2,-2.030930954E-1,2.301596174E-1
2.206110000E-1,-6.129833512E-2,-8.942841254E-2,-2.166101038E-1,2.422289494E-1
2.306210000E-1,1.042432470E-2,-9.511632811E-2,-1.772577578E-1,2.014350891E-1
2.406610000E-1,7.331679353E-2,-9.854418520E-2,-1.739920878E-1,2.129778281E-1
2.506710000E-1,8.852154594E-2,-1.540374046E-1,-1.136950153E-1,2.109268656E-1
2.607120000E-1,5.029078720E-2,-9.562408570E-2,-3.585454166E-2,1.138361858E-1
2.707210000E-1,-7.308710760E-2,-9.030182211E-2,-6.573205948E-2,1.334797663E-1
2.807620000E-1,-4.688239038E-2,1.216691557E-1,-4.497327447E-2,1.379272902E-1
2.908020000E-1,-7.633033885E-2,1.366712289E-1,-4.433475852E-2,1.626988515E-1
3.008120000E-1,2.891532194E-2,1.810935861E-1,-4.749693274E-3,1.834490184E-1
3.108520000E-1,1.289352713E-1,-1.382717215E-1,-1.893591553E-1,2.675822544E-1
3.208620000E-1,2.270265714E-1,-2.932277968E-1,-1.005902356E-1,3.842421117E-1
3.309007083E-1,2.249251003E-1,-1.160372454E-1,-6.555021107E-2,2.614436330E-1
3.409107083E-1,4.389347646E-2,1.277806655E-2,-1.235551751E-1,1.317414041E-1
3.509507083E-1,-3.947807947E-2,2.130665084E-2,-8.632127523E-2,9.728234520E-2
3.609607083E-1,-7.708495857E-2,1.771815978E-2,1.928353250E-2,8.141178446E-2
3.710007083E-1,-8.408665214E-2,9.419042151E-2,-2.776725769E-2,1.292803975E-1
3.810407083E-1,-6.049874665E-2,6.884515364E-2,-8.807076216E-2,1.271070914E-1
3.910507083E-1,3.021340381E-2,-2.426707786E-2,-1.049160057E-1,1.118441286E-1
