"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,3.539512410E-2,3.480877628E-2,-6.219215512E-2,7.957593779E-2
1.004000002E-2,4.722458040E-2,2.569377107E-2,-8.481971025E-2,1.004226773E-1
2.004999999E-2,5.335563269E-2,8.206069241E-3,-1.571304721E-1,1.661449619E-1
3.009000001E-2,2.647764514E-2,-1.793708776E-2,-9.246845305E-2,9.784283121E-2
4.013099999E-2,9.997770321E-3,-3.452763484E-2,-5.745064795E-2,6.776938784E-2
5.014100001E-2,1.611086983E-2,-3.121333708E-2,-8.185575664E-2,8.907411203E-2
6.018100004E-2,1.042101737E-2,-2.228245064E-2,-9.727954209E-2,1.003414895E-1
7.019100001E-2,7.568864347E-3,-1.729627403E-2,-8.426013172E-2,8.634939838E-2
8.023100003E-2,7.366980091E-3,-6.418200829E-3,-7.348722160E-2,7.413391556E-2
9.024100000E-2,2.216506778E-2,8.072282206E-3,-6.136828244E-2,6.574585963E-2
1.002810000E-1,3.307121219E-2,1.590331195E-2,-9.819463134E-2,1.048275061E-1
1.102910000E-1,4.430647261E-2,1.703018004E-2,-1.071788782E-1,1.172194629E-1
1.203310000E-1,4.068946724E-2,3.498866038E-2,-6.152674198E-2,8.164177288E-2
1.303710000E-1,3.457231122E-2,2.744251338E-2,-7.604947150E-2,8.793098634E-2
1.403810000E-1,4.292848488E-2,1.614933812E-2,-9.236846566E-2,1.031289939E-1
1.504210000E-1,3.463413639E-2,1.222909065E-2,-8.608153939E-2,9.359009288E-2
1.604310000E-1,2.698395920E-2,9.694007467E-3,-8.952496469E-2,9.400439957E-2
1.704710000E-1,1.752024067E-2,1.848158687E-3,-7.336033702E-2,7.544609712E-2
1.804810000E-1,1.178082392E-2,-8.197969934E-3,-1.329399562E-1,1.337124769E-1
1.905210000E-1,4.299850529E-3,3.090929557E-3,-1.176722914E-1,1.177913865E-1
2.005620000E-1,2.293634294E-3,2.211247025E-2,1.629502058E-2,2.756355918E-2
2.105710000E-1,1.127450072E-2,4.223617455E-3,-9.193226337E-2,9.271728188E-2
2.206120000E-1,1.395901225E-2,1.758938399E-3,-1.004680288E-1,1.014483745E-1
2.306210000E-1,2.493894121E-2,-5.879220022E-3,-1.010679531E-1,1.042652730E-1
2.406620000E-1,2.056096639E-2,-5.094893700E-3,-7.577289820E-2,7.867809976E-2
2.506720000E-1,2.926825622E-2,-2.205423564E-3,-6.245118678E-2,6.900467698E-2
2.607120000E-1,3.888146248E-2,7.089356119E-3,-1.055615383E-1,1.127176360E-1
2.707520000E-1,5.383962683E-2,1.177426864E-2,-9.134286404E-2,1.066811025E-1
2.807620000E-1,4.579171107E-2,2.581844467E-2,-4.598952055E-2,6.984632337E-2
2.908020000E-1,5.065248317E-2,2.412541078E-2,-8.955244660E-2,1.056756840E-1
3.008120000E-1,2.923052341E-2,2.132651310E-2,-1.265249759E-1,1.315971625E-1
3.108520000E-1,2.516006646E-2,9.256516965E-3,-8.371341705E-2,8.790135520E-2
3.208620000E-1,1.519779056E-2,-1.308909274E-2,-7.099221468E-2,7.377121208E-2
3.309020000E-1,-5.701674800E-3,-2.954049436E-2,-5.677295566E-2,6.425199138E-2
3.409120000E-1,-1.709009573E-2,-3.841608807E-2,-1.004861552E-1,1.089281165E-1
3.509520000E-1,-9.276507134E-3,-3.304111730E-2,-1.123139030E-1,1.174401201E-1
3.609930000E-1,1.831740802E-3,-9.122323366E-3,-6.831009686E-2,6.894085430E-2
3.710020000E-1,1.373661705E-2,-1.058768586E-2,-9.211352706E-2,9.373204152E-2
3.810430000E-1,2.532088316E-2,6.696852632E-3,-9.750465989E-2,1.009611493E-1
3.910520000E-1,3.226997919E-2,1.667049405E-2,-8.642944872E-2,9.375130152E-2
4.010930000E-1,4.641272192E-2,2.392509797E-2,-7.759956837E-2,9.353204841E-2
4.111020000E-1,5.364008146E-2,3.005497625E-2,-5.784182668E-2,8.441704123E-2
4.211430000E-1,5.170643466E-2,2.801692466E-2,-8.852801442E-2,1.062812909E-1
4.311830000E-1,5.549665466E-2,1.668366856E-2,-1.060433489E-1,1.208445916E-1
4.411930000E-1,5.009214632E-2,1.370325595E-2,-1.030524981E-1,1.153985256E-1
4.512330000E-1,3.609645193E-2,2.484175866E-3,-9.212756038E-2,9.897783769E-2
4.612430000E-1,2.407165295E-2,-7.252945681E-3,-9.153465271E-2,9.492440331E-2
4.712830000E-1,7.645691279E-3,-3.336572000E-3,-1.127974677E-1,1.131055172E-1
4.812930000E-1,-1.514694720E-2,-7.323171655E-3,-1.051773763E-1,1.065145029E-1
4.913330000E-1,-1.035332671E-2,-1.431305202E-2,-6.642086148E-2,6.872980192E-2
5.013730000E-1,-1.084058250E-2,-3.118425175E-3,-4.712095678E-2,4.845232061E-2
5.113830000E-1,9.698804012E-3,-1.239743108E-2,-1.647651815E-1,1.655153411E-1
5.214230000E-1,3.569834791E-3,-6.065111230E-3,-9.126801968E-2,9.153895734E-2
5.314330000E-1,1.146310084E-2,4.339967910E-3,-3.414189219E-3,1.272378443E-2
5.414740000E-1,5.127671912E-2,-4.092151034E-3,-1.535414511E-1,1.619290735E-1
5.514830000E-1,4.830729288E-2,-6.451095985E-3,-9.364081979E-2,1.055642663E-1
5.615240000E-1,4.114136565E-2,-8.585224631E-3,-2.984711230E-2,5.154772703E-2
5.715330000E-1,5.345023882E-2,1.733416216E-2,-8.222705483E-2,9.959261897E-2
5.815740000E-1,5.534893937E-2,9.923126958E-3,-8.010977805E-2,9.787517600E-2
5.916140000E-1,4.632351534E-2,1.078294632E-2,-9.729299068E-2,1.082961959E-1
6.016240000E-1,2.982020597E-2,5.528853033E-3,-1.005539829E-1,1.050281694E-1
6.116640000E-1,3.510549506E-3,-1.231916062E-2,-1.101165193E-1,1.108590705E-1
