"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.832473489E-5,1.804003073E-3,-6.228337169E-2,6.230949862E-2
1.004000002E-2,3.361887474E-3,5.470760032E-3,-7.994664073E-2,8.020409507E-2
2.004999999E-2,-3.288659093E-4,1.437654456E-2,-8.219138682E-2,8.343990205E-2
3.009100002E-2,-9.707920871E-3,2.028167962E-2,-8.653294444E-2,8.940660339E-2
4.009999998E-2,-1.395126354E-2,1.955666599E-2,-6.168461680E-2,6.619737827E-2
5.014100001E-2,-8.457956899E-3,1.528364870E-2,-8.129442394E-2,8.314992673E-2
6.014999998E-2,-1.235008005E-2,1.445849694E-2,-1.453611964E-1,1.465996249E-1
7.019100001E-2,-1.553948038E-2,4.995893030E-3,-3.384309947E-2,3.757379113E-2
8.023099997E-2,-1.623590660E-2,-5.608658390E-3,-8.294099987E-2,8.470106948E-2
9.024100000E-2,-2.210019110E-3,-1.546525043E-2,-9.326952159E-2,9.456882052E-2
1.002810000E-1,3.356553032E-4,-9.056510213E-3,-7.380998790E-2,7.436428818E-2
1.102910000E-1,-2.903096890E-3,-2.280594089E-2,-1.104837245E-1,1.128503092E-1
1.203310000E-1,-1.113669373E-2,-3.868463058E-3,-4.312380016E-2,4.470629814E-2
1.303410000E-1,-1.038810851E-2,-3.497639950E-4,-9.326893687E-2,9.384630903E-2
1.403810000E-1,-2.201174282E-2,2.700225916E-4,-1.449115455E-1,1.465740283E-1
1.504210000E-1,-1.942188767E-2,3.936514598E-3,-6.512745738E-2,6.807563127E-2
1.604310000E-1,2.678113848E-3,7.124270392E-3,-6.329786360E-2,6.375380035E-2
1.704710000E-1,3.493452111E-3,1.538095916E-2,-9.485821009E-2,9.616058513E-2
1.804810000E-1,-2.343945473E-4,2.983002746E-2,-8.138797939E-2,8.668268955E-2
1.905210000E-1,9.535986464E-3,3.436211295E-2,-1.142990327E-1,1.197328640E-1
2.005620000E-1,1.994631896E-2,3.312025114E-2,-9.155570269E-2,9.938437186E-2
2.105710000E-1,1.828368261E-2,3.476195287E-2,-5.833357751E-2,7.032419699E-2
2.206120000E-1,1.978442646E-2,2.754814699E-2,-8.198907316E-2,8.872729033E-2
2.306220000E-1,1.470562403E-2,1.942006042E-2,-7.765570164E-2,8.138674414E-2
2.406620000E-1,8.738053946E-3,7.196917478E-4,-8.514656961E-2,8.559678650E-2
2.506720000E-1,1.319177533E-3,-1.066038319E-2,-9.263802230E-2,9.325871099E-2
2.607120000E-1,-1.599999543E-2,-1.379767934E-2,-6.031812251E-2,6.391128000E-2
2.707520000E-1,-2.668737289E-2,-2.853537626E-2,-1.002967054E-1,1.076378775E-1
2.807620000E-1,-2.108359327E-2,-2.440618677E-2,-8.234341443E-2,8.843425669E-2
2.908020000E-1,-2.421679409E-2,-2.372731590E-2,-9.268187642E-2,9.868824070E-2
3.008120000E-1,-1.917635258E-2,-1.398844019E-2,-8.490391016E-2,8.815941763E-2
3.108520000E-1,-1.846771687E-3,-9.988812204E-3,-4.942943752E-2,5.046242392E-2
3.208620000E-1,1.003062436E-3,3.120951355E-4,-7.666986108E-2,7.667705743E-2
3.309020000E-1,1.441221371E-2,1.366894467E-2,-9.777070820E-2,9.976804767E-2
3.409430000E-1,1.685486635E-2,2.405862919E-2,-8.429287612E-2,8.926473617E-2
3.509520000E-1,2.224747241E-2,1.962501446E-2,-9.940266609E-2,1.037351495E-1
3.609930000E-1,1.024677834E-2,2.490615112E-2,-8.712117434E-2,9.118888006E-2
3.710020000E-1,8.556577843E-3,1.510595273E-2,-7.708618283E-2,7.901698815E-2
3.810430000E-1,7.522274487E-3,9.399166186E-3,-9.788999140E-2,9.862747769E-2
3.910520000E-1,2.451192773E-3,9.708182397E-3,-7.319076777E-2,7.387249581E-2
4.010930000E-1,-1.674255984E-2,4.089419288E-3,-7.618629634E-2,7.811138464E-2
4.111330000E-1,-2.021412829E-2,-1.678539184E-3,-1.004399621E-1,1.024676265E-1
4.211430000E-1,-3.239540197E-2,1.895224205E-3,-9.550608158E-2,1.008685559E-1
4.311830000E-1,-4.392579603E-2,2.509250371E-3,-5.524273932E-2,7.062246202E-2
4.411930000E-1,-3.081283706E-2,1.025415245E-2,-6.991691172E-2,7.709055140E-2
