"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-5.448669434E-2,-7.694000244E-2,9.741143188E0,9.741599416E0
1.001000003E-2,-1.736389160E-2,-5.269042969E-2,9.787546692E0,9.787703920E0
2.005000005E-2,2.245330811E-2,-2.619552612E-2,9.789193268E0,9.789254067E0
3.009000001E-2,1.930984497E-2,-1.916015625E-2,9.757010193E0,9.757048113E0
4.010000004E-2,4.760101318E-2,-8.981323242E-4,9.744885406E0,9.745001706E0
5.014000001E-2,1.347198486E-2,-1.691482544E-2,9.752070465E0,9.752094440E0
6.015000003E-2,-4.790039062E-2,-5.673202515E-2,9.770482178E0,9.770764297E0
7.019000006E-2,-3.427871704E-2,-4.760101318E-2,9.769434357E0,9.769610460E0
8.020000003E-2,-2.993774414E-3,-3.861968994E-2,9.756860504E0,9.756937396E0
9.024000005E-2,3.293151855E-3,-2.499801636E-2,9.749525757E0,9.749558361E0
1.002500000E-1,6.286926270E-3,-2.664459229E-2,9.753118286E0,9.753156708E0
1.102900000E-1,-1.691482544E-2,-4.715194702E-2,9.760902100E0,9.761030643E0
1.203310000E-1,-6.646179199E-2,-9.759704590E-2,9.755662994E0,9.756377546E0
1.303400000E-1,-6.361770630E-2,-1.213975525E-1,9.755064240E0,9.756027004E0
1.403810000E-1,-9.879455566E-3,-8.128097534E-2,9.751771088E0,9.752114824E0
1.503910000E-1,-2.140548706E-2,-6.810836792E-2,9.756261749E0,9.756522960E0
1.604310001E-1,-3.742218018E-3,-5.568420410E-2,9.766889648E0,9.767049101E0
1.704410000E-1,9.430389404E-3,-3.577560425E-2,9.760453033E0,9.760523154E0
1.804810000E-1,-7.634124756E-3,-2.589614868E-2,9.761650543E0,9.761687878E0
1.905210000E-1,7.484436035E-4,-2.020797729E-2,9.763297119E0,9.763318061E0
2.005310000E-1,1.017883301E-2,-2.005828857E-2,9.763446808E0,9.763472718E0
2.105710000E-1,1.706451416E-2,-1.736389160E-2,9.756261749E0,9.756292125E0
2.205810000E-1,1.990859985E-2,-2.993774414E-2,9.746082916E0,9.746149231E0
2.306210001E-1,4.640350342E-3,-4.505630493E-2,9.764045563E0,9.764150621E0
2.406310000E-1,-1.062789917E-2,-5.748046875E-2,9.766290894E0,9.766465828E0
2.506710000E-1,-1.272354126E-2,-6.361770630E-2,9.767338715E0,9.767554180E0
2.606810000E-1,-2.888992310E-2,-7.649093628E-2,9.767338715E0,9.767680946E0
2.707210000E-1,-4.475692749E-2,-8.397537231E-2,9.756261749E0,9.756725802E0
2.807620000E-1,-5.733078003E-2,-5.643264771E-2,9.758207703E0,9.758539288E0
2.907710000E-1,-5.508544922E-2,-5.149291992E-2,9.771080933E0,9.771371885E0
3.008120000E-1,-4.026626587E-2,-4.430786133E-2,9.764494629E0,9.764678178E0
3.108210000E-1,-3.502716064E-2,-4.370910645E-2,9.749974823E0,9.750135714E0
3.208620001E-1,-1.481918335E-2,-5.014572144E-2,9.753866730E0,9.754006889E0
3.308710000E-1,-1.496887207E-4,-3.757186890E-2,9.758806458E0,9.758878785E0
3.409120000E-1,1.212478638E-2,-2.933898926E-2,9.760752411E0,9.760804035E0
3.509220000E-1,3.038681030E-2,-4.340972900E-2,9.767338715E0,9.767482446E0
3.609620000E-1,2.784210205E-2,-3.802093506E-2,9.760153656E0,9.760267423E0
3.710020000E-1,9.879455566E-3,-5.643264771E-2,9.740245056E0,9.740413544E0
3.810120000E-1,8.831634521E-3,-4.715194702E-2,9.753118286E0,9.753236263E0
3.910520000E-1,2.095642090E-3,-4.655319214E-2,9.755662994E0,9.755774293E0
4.010620000E-1,-1.960922241E-2,-6.077362061E-2,9.770182800E0,9.770391492E0
4.111020000E-1,-3.038681030E-2,-6.855743408E-2,9.762698364E0,9.762986368E0
4.211120000E-1,-4.400848389E-2,-7.783813477E-2,9.758656769E0,9.759066423E0
4.311520000E-1,-4.385879517E-2,-7.843688965E-2,9.754764862E0,9.755178802E0
4.411930000E-1,-3.128494263E-2,-7.035369873E-2,9.755962372E0,9.756266201E0
4.512020000E-1,-3.742218018E-2,-7.035369873E-2,9.759255524E0,9.759580854E0
4.612430001E-1,-1.062789917E-2,-6.301895142E-2,9.724078674E0,9.724288684E0
4.712520000E-1,1.362167358E-2,-3.053649902E-2,9.748477936E0,9.748535279E0
4.812930000E-1,1.601669312E-2,-1.437011719E-2,9.770931244E0,9.770954938E0
4.913020000E-1,9.729766846E-3,-1.062789917E-2,9.825717316E0,9.825727881E0
5.013430000E-1,8.532257080E-3,-2.095642090E-2,9.695039062E0,9.695065466E0
5.113520000E-1,2.844085693E-3,-4.281097412E-2,9.748627625E0,9.748722041E0
5.213930000E-1,2.993774414E-3,-4.685256958E-2,9.756261749E0,9.756374708E0
5.314330001E-1,-2.709365845E-2,-2.859054565E-2,9.736951904E0,9.737031574E0
5.414430000E-1,3.996688843E-2,1.930984497E-2,9.897867279E0,9.897966806E0
5.514830000E-1,-2.769241333E-2,-7.200027466E-2,9.693841553E0,9.694148491E0
5.614930000E-1,-1.242416382E-2,-7.933502197E-2,9.723629608E0,9.723961187E0
5.715330000E-1,1.422042847E-2,-5.987548828E-2,9.672885132E0,9.673080898E0
5.815430000E-1,-4.266128540E-2,-8.666976929E-2,9.911189575E0,9.911660327E0
5.915830000E-1,-9.280700684E-3,-9.205856323E-2,9.718390503E0,9.718830942E0
6.016230001E-1,-3.517684937E-2,-8.637039185E-2,9.753866730E0,9.754312556E0
6.116330000E-1,-3.173400879E-2,-7.289840698E-2,9.710906067E0,9.711231532E0
6.216730000E-1,-1.496887207E-2,-6.286926270E-2,9.836045837E0,9.836258147E0
6.317231251E-1,-9.131011963E-3,-3.742218018E-2,9.727072449E0,9.727148720E0
6.417641250E-1,-4.490661621E-4,-3.397933960E-2,9.742640076E0,9.742699341E0
6.517731250E-1,2.380050659E-2,-2.619552612E-2,9.769883423E0,9.769947531E0
6.618141250E-1,1.182540894E-2,-1.137634277E-2,9.746382294E0,9.746396107E0
