"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-7.517367554E-1,9.114546204E-1,9.629774780E0,9.701980210E0
1.001000003E-2,-8.090675354E-1,9.490264893E-1,9.922266541E0,1.000033074E1
2.005000005E-2,-7.352709961E-1,1.040037231E0,9.967023468E0,1.004807731E1
3.009100002E-2,-5.986051941E-1,1.008452911E0,9.972262573E0,1.004098234E1
4.010000004E-2,-4.785548401E-1,7.852670288E-1,9.942175140E0,9.984613441E0
5.014100001E-2,-3.499722290E-1,7.057823181E-1,9.884395294E0,9.915738983E0
6.015100004E-2,-3.695814514E-1,7.493417358E-1,9.787995758E0,9.823592237E0
7.019100001E-2,-4.611909485E-1,7.929011536E-1,9.742041321E0,9.785129454E0
8.023100003E-2,-4.602928162E-1,8.521778870E-1,9.754016418E0,9.801985152E0
9.024100000E-2,-4.686753845E-1,8.440946960E-1,9.725874939E0,9.773678724E0
1.002810000E-1,-4.713697815E-1,8.442443848E-1,9.733658752E0,9.781566887E0
1.102910000E-1,-4.388873291E-1,8.993298340E-1,9.727222137E0,9.778561589E0
1.203310000E-1,-3.582051086E-1,8.939410400E-1,9.729317780E0,9.776863809E0
1.303410000E-1,-3.088078308E-1,8.342152405E-1,9.782457275E0,9.822817706E0
1.403810000E-1,-3.345542908E-1,7.951464844E-1,9.814790039E0,9.852628483E0
1.504220000E-1,-3.360511780E-1,8.107141113E-1,9.799671478E0,9.838889615E0
1.604310000E-1,-3.100053406E-1,8.193960571E-1,9.799821167E0,9.838902790E0
1.704720000E-1,-2.725831604E-1,8.232879639E-1,9.827214203E0,9.865406410E0
1.804810000E-1,-2.390528870E-1,8.391549683E-1,9.876162415E0,9.914631177E0
1.905220000E-1,-2.574645996E-1,8.301736450E-1,9.831255798E0,9.869603177E0
2.005310000E-1,-2.451901245E-1,8.014334106E-1,9.765542450E0,9.801440356E0
2.105720000E-1,-2.032772827E-1,8.271798706E-1,9.807904358E0,9.844822806E0
2.206120000E-1,-2.044747925E-1,8.228388977E-1,9.788295135E0,9.824947606E0
2.306220000E-1,-1.945953369E-1,8.271798706E-1,9.773775330E0,9.810646160E0
2.406620000E-1,-1.881587219E-1,8.195457458E-1,9.793683929E0,9.829715349E0
2.506720001E-1,-2.019300842E-1,8.012837219E-1,9.764943695E0,9.799844730E0
2.607120000E-1,-2.100132751E-1,8.634045410E-1,9.780211945E0,9.820494828E0
2.707520000E-1,-1.770817566E-1,9.515711975E-1,9.764344940E0,9.812200457E0
2.807620000E-1,-1.230441284E-1,9.616003418E-1,9.715396729E0,9.763644231E0
