,action,timestamp,duration_msec
0,sitzen,1516433460000,10860000
1,gehen,1516444320000,1080000
2,schlafen,1516445400000,27840000
3,auto,1516473240000,1140000
4,gehen,1516474380000,240000
5,arbeit,1516474620000,29160000
6,auto,1516503780000,2760000
7,gehen,1516506540000,1680000
8,liegen,1516508220000,1740000
9,schlafen,1516509960000,25080000
10,liegen,1516535040000,2400000
11,sitzen,1516537440000,17340000
12,gehen,1516554780000,240000
13,joggen,1516555020000,1800000
14,gehen,1516556820000,840000
15,duschen,1516557660000,2280000
16,sitzen,1516559940000,17220000
17,liegen,1516577160000,1440000
18,schlafen,1516578600000,29400000
19,liegen,1516608000000,7200000
20,sitzen,1516615200000,9720000
21,gehen,1516624920000,240000
22,joggen,1516625160000,1860000
23,gehen,1516627020000,3600000
24,duschen,1516630620000,2040000
25,sitzen,1516632660000,540000
26,gehen,1516633200000,420000
27,sitzen,1516633620000,2340000
28,gehen,1516635960000,600000
29,sitzen,1516636560000,660000
30,gehen,1516637220000,480000
31,sitzen,1516637700000,3540000
32,nul,1516641240000,1860000
33,gehen,1516643100000,1800000
34,sitzen,1516644900000,5100000
35,nul,1516650000000,7020000
36,schlafen,1516657020000,34800000
37,liegen,1516691820000,3840000
38,liegen,1516695660000,3600000
39,gehen,1516699260000,2280000
40,duschen,1516701540000,720000
41,sitzen,1516702260000,1800000
42,gehen,1516704060000,600000
43,sitzen,1516704660000,540000
44,gehen,1516705200000,480000
45,sitzen,1516705680000,2280000
46,gehen,1516707960000,1260000
47,sitzen,1516709220000,12780000
48,gehen,1516722000000,900000
49,sitzen,1516722900000,900000
50,gehen,1516723800000,900000
51,sitzen,1516724700000,1800000
52,gehen,1516726500000,840000
53,sitzen,1516727340000,3240000
54,nul,1516730580000,7020000
55,liegen,1516737600000,5280000
56,gehen,1516742880000,300000
57,joggen,1516743180000,1320000
58,gehen,1516744500000,720000
59,duschen,1516745220000,1140000
60,liegen,1516746360000,5880000
61,schlafen,1516752240000,33300000
62,liegen,1516785540000,4800000
63,gehen,1516790340000,1740000
64,liegen,1516792080000,17940000
65,joggen,1516810020000,1260000
66,gehen,1516811280000,1320000
67,sitzen,1516812600000,1560000
68,nul,1516814160000,15960000
69,liegen,1516830120000,1320000
70,schlafen,1516831440000,41640000
71,sitzen,1516873080000,17340000
72,sitzen,1516890420000,2880000
73,nul,1516893300000,2760000
74,gehen,1516896060000,180000
75,sitzen,1516896240000,3600000
76,joggen,1516899840000,1320000
77,gehen,1516901160000,240000
78,duschen,1516901400000,720000
79,sitzen,1516902120000,2760000
80,gehen,1516904880000,780000
81,sitzen,1516905660000,14760000
82,nul,1516920420000,2640000
83,nul,1516923060000,3420000
84,sitzen,1516926480000,7380000
85,schlafen,1516933860000,35280000
86,liegen,1516969140000,3420000
87,sitzen,1516972560000,6300000
88,joggen,1516978860000,1380000
89,duschen,1516980240000,1200000
90,sitzen,1516981440000,10260000
91,nul,1516991700000,4200000
92,nul,1516995900000,6840000
93,auto,1517002740000,900000
94,gehen,1517003640000,5880000
95,sitzen,1517009520000,12300000
96,sitzen,1517021820000,2340000
97,schlafen,1517024160000,29940000
98,liegen,1517054100000,2640000
99,sitzen,1517056740000,2880000
100,joggen,1517059620000,1200000
101,gehen,1517060820000,2340000
102,sitzen,1517063160000,5040000
103,nul,1517068200000,9060000
104,gehen,1517077260000,240000
105,auto,1517077500000,1200000
106,gehen,1517078700000,360000
107,arbeit,1517079060000,30600000
108,auto,1517109660000,600000
109,gehen,1517110260000,540000
110,liegen,1517110800000,3480000
111,schlafen,1517114280000,35040000
112,liegen,1517149320000,4140000
113,sitzen,1517153460000,6180000
114,liegen,1517159640000,9960000
115,joggen,1517169600000,1260000
116,gehen,1517170860000,4140000
117,auto,1517175000000,900000
118,gehen,1517175900000,300000
119,sitzen,1517176200000,2640000
120,auto,1517178840000,600000
121,gehen,1517179440000,480000
122,sitzen,1517179920000,26100000
123,schlafen,1517206020000,34020000
124,liegen,1517240040000,6840000
125,sitzen,1517246880000,3120000
126,joggen,1517250000000,1320000
127,gehen,1517251320000,2520000
128,duschen,1517253840000,540000
129,sitzen,1517254380000,22140000
130,nul,1517276520000,420000
131,schlafen,1517276940000,29460000
132,gehen,1517306400000,3060000
133,sitzen,1517309460000,4920000
134,sitzen,1517314380000,10020000
135,sitzen,1517324400000,3000000
136,gehen,1517327400000,300000
137,sitzen,1517327700000,420000
138,gehen,1517328120000,1020000
139,liegen,1517329140000,1740000
140,schlafen,1517330880000,18660000
141,liegen,1517349540000,1200000
142,joggen,1517350740000,1260000
143,gehen,1517352000000,300000
144,duschen,1517352300000,1560000
145,liegen,1517353860000,18960000
146,schlafen,1517372820000,24660000
147,liegen,1517397480000,13020000
148,joggen,1517410500000,1200000
149,gehen,1517411700000,2220000
150,sitzen,1517413920000,2100000
151,gehen,1517416020000,720000
152,sitzen,1517416740000,1080000
153,gehen,1517417820000,60000
154,sitzen,1517417880000,23040000
155,nul,1517440920000,5460000
156,schlafen,1517446380000,25920000
157,liegen,1517472300000,33840000
158,gehen,1517506140000,840000
